10 	2.121800  	2.064545 	0.163194
20 	2.121800 	2.072608 	0.131944
30 	2.121800 	1.984684 	0.281250
40 	1.924100 	1.849626 	0.267361
50 	1.924100 	2.022222 	0.225694
60 	1.956800 	1.894431 	0.194444
70 	1.956800 	1.766566 	0.194444
80 	1.827700 	1.730252 	0.309028
90 	1.827700 	2.039329 	0.277778
100 	1.926400 	1.579840 	0.354167
110 	1.926400 	1.582742 	0.423611
120 	1.807500 	1.454808 	0.444444
130 	1.807500 	1.368971 	0.479167
140 	1.653900 	1.409246 	0.500000
150 	1.653900 	1.367856 	0.496528
160 	1.398900 	1.234904 	0.562500
170 	1.398900 	1.155599 	0.562500
180 	1.394100 	1.144030 	0.583333
190 	1.394100 	1.310763 	0.461806
200 	1.286900 	1.691952 	0.472222
210 	1.286900 	1.510405 	0.402778
220 	1.541600 	1.490295 	0.440972
230 	1.541600 	1.218266 	0.541667
240 	1.020500 	1.434632 	0.489583
250 	1.020500 	1.196951 	0.579861
260 	1.096500 	1.448740 	0.468750
270 	1.096500 	0.987105 	0.628472
280 	1.179900 	1.150596 	0.586806
290 	1.179900 	0.961112 	0.638889
300 	0.956600 	1.023245 	0.611111
310 	0.956600 	0.904228 	0.645833
320 	0.959900 	0.856399 	0.684028
330 	0.959900 	1.153452 	0.600694
340 	0.908600 	0.864745 	0.701389
350 	0.908600 	0.918826 	0.659722
360 	0.878100 	0.984262 	0.684028
370 	0.878100 	0.845684 	0.715278
380 	0.821900 	0.809856 	0.711806
390 	0.821900 	0.732135 	0.760417
400 	0.802300 	0.704491 	0.750000
410 	0.802300 	0.719967 	0.736111
420 	0.784200 	0.780966 	0.718750
430 	0.784200 	0.716283 	0.739583
440 	0.844200 	0.691873 	0.718750
450 	0.844200 	0.659350 	0.739583
460 	0.670300 	0.668467 	0.767361
470 	0.670300 	0.703861 	0.753472
480 	0.567100 	0.755615 	0.722222
490 	0.567100 	0.824631 	0.704861
500 	0.606600 	0.820922 	0.694444
510 	0.606600 	0.796688 	0.701389
520 	0.461200 	0.783014 	0.697917
530 	0.461200 	0.711981 	0.718750
540 	0.523400 	0.657102 	0.743056
550 	0.523400 	0.642539 	0.767361
560 	0.396200 	0.634034 	0.763889
570 	0.396200 	0.636731 	0.763889
